iter	Passed	Remaining
402	13787	37531
403	13819	37491
404	13853	37456
405	13882	37406
406	13915	37369
407	13948	37333
408	13978	37288
409	14009	37245
410	14045	37216
411	14076	37173
412	14107	37129
413	14140	37092
414	14171	37049
415	14202	37008
416	14239	36982
417	14271	36943
418	14303	36901
419	14336	36864
420	14367	36823
421	14398	36781
422	14431	36744
423	14464	36705
424	14494	36661
425	14528	36627
426	14560	36587
427	14590	36545
428	14625	36513
429	14656	36470
430	14687	36427
431	14722	36398
432	14753	36355
433	14784	36313
434	14817	36277
435	14852	36246
436	14894	36231
437	14934	36211
438	14975	36192
439	15014	36171
440	15053	36147
441	15095	36133
442	15132	36105
443	15172	36085
444	15215	36071
445	15253	36048
446	15295	36031
447	15335	36012
448	15373	35985
449	15415	35968
450	15452	35941
451	15492	35920
452	15532	35899
453	15569	35871
454	15608	35848
455	15644	35818
456	15687	35803
457	15736	35802
458	15773	35773
459	15815	35756
460	15855	35734
461	15898	35719
462	15939	35699
463	15979	35678
464	16017	35651
465	16053	35621
466	16104	35622
467	16141	35594
468	16182	35574
469	16219	35545
470	16257	35518
471	16297	35496
472	16336	35470
473	16377	35449
474	16418	35429
475	16455	35400
476	16498	35383
477	16535	35354
478	16574	35328
479	16615	35307
480	16648	35269
481	16686	35242
482	16721	35208
483	16755	35172
484	16792	35142
485	16828	35110
486	16864	35080
487	16904	35056
488	16941	35027
489	16978	34996
490	17015	34966
491	17056	34945
492	17094	34917
493	17129	34882
494	17162	34844
495	17195	34807
496	17229	34771
497	17260	34729
498	17297	34698
499	17326	34653
500	17359	34615
501	17396	34584
502	17426	34541
503	17459	34503
504	17501	34483
505	17532	34440
506	17565	34402
507	17599	34366
508	17628	34322
509	17658	34278
510	17692	34243
511	17726	34206
512	17759	34168
513	17790	34127
514	17822	34087
515	17853	34045
516	17889	34013
517	17923	33977
518	17951	33932
519	17981	33888
520	18013	33848
521	18046	33811
522	18079	33773
523	18109	33730
524	18142	33692
525	18176	33657
526	18208	33618
527	18238	33575
528	18269	33535
529	18302	33496
530	18334	33457
531	18366	33418
532	18402	33387
533	18433	33345
534	18466	33308
535	18502	33277
536	18535	33238
537	18566	33198
538	18598	33160
539	18630	33120
540	18664	33085
541	18701	33055
542	18732	33014
543	18762	32972
544	18790	32925
545	18821	32885
546	18856	32851
547	18884	32806
548	18915	32766
549	18950	32733
550	18981	32691
551	19016	32658
552	19050	32623
553	19081	32582
554	19111	32541
555	19144	32504
556	19177	32466
557	19205	32422
558	19238	32386
559	19271	32347
560	19303	32309
561	19339	32277
562	19370	32239
563	19399	32195
564	19431	32156
565	19466	32123
566	19498	32085
567	19532	32050
568	19563	32010
569	19593	31968
570	19626	31932
571	19661	31897
572	19712	31891
573	19750	31862
574	19781	31822
575	19816	31788
576	19849	31751
577	19879	31710
578	19910	31670
579	19945	31637
580	19976	31597
581	20010	31562
582	20043	31525
583	20075	31488
584	20108	31452
585	20141	31414
586	20177	31383
587	20207	31342
588	20241	31308
589	20273	31268
590	20306	31232
591	20337	31193
592	20373	31160
593	20402	31118
594	20431	31077
595	20464	31040
596	20497	31003
597	20526	30962
598	20560	30927
599	20595	30893
600	20629	30858
601	20663	30824
602	20695	30786
603	20731	30754
604	20770	30726
605	20803	30690
606	20836	30654
607	20870	30618
608	20900	30578
609	20929	30537
610	20963	30501
611	20999	30469
612	21030	30431
613	21063	30393
614	21094	30356
615	21124	30314
616	21157	30278
617	21193	30246
618	21222	30205
619	21253	30166
620	21287	30131
621	21316	30089
622	21348	30052
623	21380	30014
624	21411	29975
625	21446	29942
626	21476	29902
627	21503	29858
628	21538	29825
629	21570	29787
630	21610	29761
631	21649	29733
632	21692	29711
633	21733	29686
634	21770	29655
635	21804	29621
636	21849	29602
637	21887	29571
638	21923	29539
639	21959	29508
640	21995	29475
641	22032	29445
642	22069	29414
643	22106	29383
644	22146	29357
645	22182	29325
646	22219	29294
647	22258	29265
648	22290	29229
649	22330	29201
650	22363	29165
651	22396	29128
652	22435	29100
653	22473	29071
654	22509	29038
655	22548	29010
656	22584	28978
657	22622	28949
658	22656	28913
659	22691	28880
660	22726	28845
661	22755	28805
662	22787	28767
663	22817	28727
664	22848	28689
665	22878	28650
666	22911	28613
667	22944	28577
668	22973	28536
669	23008	28502
670	23042	28468
671	23071	28427
672	23104	28391
673	23136	28354
674	23165	28313
675	23198	28278
676	23231	28241
677	23263	28204
678	23293	28165
679	23328	28131
680	23363	28097
681	23396	28061
682	23431	28028
683	23462	27990
684	23495	27954
685	23531	27922
686	23561	27883
687	23595	27848
688	23632	27816
689	23664	27780
690	23699	27746
691	23735	27714
692	23767	27677
693	23798	27638
694	23830	27602
695	23865	27569
696	23898	27533
697	23934	27500
698	23965	27462
699	23997	27425
700	24030	27390
701	24065	27356
702	24097	27319
703	24129	27282
704	24160	27245
705	24190	27206
706	24221	27168
707	24261	27140
708	24297	27107
709	24329	27071
710	24361	27033
711	24392	26996
712	24428	26964
713	24464	26931
714	24494	26892
715	24522	26851
716	24554	26815
717	24587	26779
718	24617	26739
719	24649	26704
720	24682	26668
721	24714	26631
722	24752	26600
723	24784	26565
724	24817	26528
725	24849	26492
726	24883	26457
727	24917	26423
728	24951	26389
729	24982	26351
730	25012	26313
731	25046	26278
732	25080	26243
733	25110	26205
734	25141	26167
735	25175	26133
736	25204	26093
737	25235	26056
738	25268	26020
739	25298	25982
740	25328	25943
741	25365	25912
742	25398	25877
743	25428	25838
744	25462	25804
745	25492	25765
746	25523	25728
747	25560	25697
748	25590	25658
749	25621	25621
750	25654	25586
751	25685	25549
752	25722	25517
753	25755	25482
754	25787	25445
755	25816	25406
756	25847	25369
757	25884	25337
758	25914	25299
759	25949	25266
760	25979	25228
761	26009	25190
762	26043	25156
763	26075	25120
764	26105	25081
765	26137	25045
766	26171	25011
767	26201	24973
768	26234	24938
769	26266	24902
770	26295	24863
771	26325	24825
772	26359	24790
773	26391	24754
